iter	RMSE
0	2.005326785
1	1.99160768
2	1.979592665
3	1.970730102
4	1.955934633
5	1.943113581
6	1.930280829
7	1.920878427
8	1.910201007
9	1.90502387
10	1.894990425
11	1.886473973
12	1.879361037
13	1.874160952
14	1.868790181
15	1.863314318
16	1.856702322
17	1.850794583
18	1.84674337
19	1.84226781
20	1.833064854
21	1.828554182
22	1.822662729
23	1.816926667
24	1.811415478
25	1.802883315
26	1.79875518
27	1.794054726
28	1.788093586
29	1.785521466
30	1.783452477
31	1.779041688
32	1.775240695
33	1.771676633
34	1.763633954
35	1.759064492
36	1.755566904
37	1.751075987
38	1.747826227
39	1.74519166
40	1.74193017
41	1.736661754
42	1.73215684
43	1.72791405
44	1.724647535
45	1.721961536
46	1.72046707
47	1.715061713
48	1.711164669
49	1.707499988
50	1.702376942
51	1.698722643
52	1.694366655
53	1.690937451
54	1.687648945
55	1.685795568
56	1.683670274
57	1.680915672
58	1.678618028
59	1.676068642
60	1.673764987
61	1.671444313
62	1.668618256
63	1.666546631
64	1.66476343
65	1.662072529
66	1.658788116
67	1.656537711
68	1.654753046
69	1.652970633
70	1.65086157
71	1.649254861
72	1.644860616
73	1.643389597
74	1.640932083
75	1.637294662
76	1.635425433
77	1.633222544
78	1.631901653
79	1.628187513
80	1.625968466
81	1.624326645
82	1.6219218
83	1.617635084
84	1.616778282
85	1.613696313
86	1.611218796
87	1.608492841
88	1.60648495
89	1.603834847
90	1.601582149
91	1.59957234
92	1.597747257
93	1.594509219
94	1.592587572
95	1.590107723
96	1.585156398
97	1.584346859
98	1.582055277
99	1.579439438
